Country Name,code2,Indicator Name,Indicator Code,population
Euro area,EMU,"Population, total",SP.POP.TOTL,342949773
Eritrea,ERI,"Population, total",SP.POP.TOTL,
Spain,ESP,"Population, total",SP.POP.TOTL,47351567
Estonia,EST,"Population, total",SP.POP.TOTL,1331057
Ethiopia,ETH,"Population, total",SP.POP.TOTL,114963583
European Union,EUU,"Population, total",SP.POP.TOTL,447801418
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,929989551
Finland,FIN,"Population, total",SP.POP.TOTL,5530719
Fiji,FJI,"Population, total",SP.POP.TOTL,896444
France,FRA,"Population, total",SP.POP.TOTL,67391582
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48865
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,115021
Gabon,GAB,"Population, total",SP.POP.TOTL,2225728
United Kingdom,GBR,"Population, total",SP.POP.TOTL,67215293
Georgia,GEO,"Population, total",SP.POP.TOTL,3714000
Ghana,GHA,"Population, total",SP.POP.TOTL,31072945
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33691
Guinea,GIN,"Population, total",SP.POP.TOTL,13132792
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2416664
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1967998
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1402985
Greece,GRC,"Population, total",SP.POP.TOTL,10715549
Grenada,GRD,"Population, total",SP.POP.TOTL,112519
Greenland,GRL,"Population, total",SP.POP.TOTL,56367
Guatemala,GTM,"Population, total",SP.POP.TOTL,16858333
Guam,GUM,"Population, total",SP.POP.TOTL,168783
Guyana,GUY,"Population, total",SP.POP.TOTL,786559
High income,HIC,"Population, total",SP.POP.TOTL,1214930230
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7481800
Honduras,HND,"Population, total",SP.POP.TOTL,9904608
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,823480038
Croatia,HRV,"Population, total",SP.POP.TOTL,4047200
Haiti,HTI,"Population, total",SP.POP.TOTL,11402533
Hungary,HUN,"Population, total",SP.POP.TOTL,9749763
IBRD only,IBD,"Population, total",SP.POP.TOTL,4862388283
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6570991956
IDA total,IDA,"Population, total",SP.POP.TOTL,1708603673
IDA blend,IDB,"Population, total",SP.POP.TOTL,574159138
Indonesia,IDN,"Population, total",SP.POP.TOTL,273523621
IDA only,IDX,"Population, total",SP.POP.TOTL,1134444535
Isle of Man,IMN,"Population, total",SP.POP.TOTL,85032
India,IND,"Population, total",SP.POP.TOTL,1380004385
Not classified,INX,"Population, total",SP.POP.TOTL,
Ireland,IRL,"Population, total",SP.POP.TOTL,4994724
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,83992953
Iraq,IRQ,"Population, total",SP.POP.TOTL,40222503
Iceland,ISL,"Population, total",SP.POP.TOTL,366425
Israel,ISR,"Population, total",SP.POP.TOTL,9216900
Italy,ITA,"Population, total",SP.POP.TOTL,59554023
Jamaica,JAM,"Population, total",SP.POP.TOTL,2961161
Jordan,JOR,"Population, total",SP.POP.TOTL,10203140
Japan,JPN,"Population, total",SP.POP.TOTL,125836021
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18754440
Kenya,KEN,"Population, total",SP.POP.TOTL,53771300
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6591600
Cambodia,KHM,"Population, total",SP.POP.TOTL,16718971
Kiribati,KIR,"Population, total",SP.POP.TOTL,119446
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,53192
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51780579
Kuwait,KWT,"Population, total",SP.POP.TOTL,4270563
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,595242966
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7275556
Lebanon,LBN,"Population, total",SP.POP.TOTL,6825442
Liberia,LBR,"Population, total",SP.POP.TOTL,5057677
Libya,LBY,"Population, total",SP.POP.TOTL,6871287
St. Lucia,LCA,"Population, total",SP.POP.TOTL,183629
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,652276325
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1057438163
Low income,LIC,"Population, total",SP.POP.TOTL,665149035
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38137
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3330652547
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6518253973
Lesotho,LSO,"Population, total",SP.POP.TOTL,2142252
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2316679176
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794700
Luxembourg,LUX,"Population, total",SP.POP.TOTL,632275
Latvia,LVA,"Population, total",SP.POP.TOTL,1901548
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,649342
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,38659
Morocco,MAR,"Population, total",SP.POP.TOTL,36910558
Monaco,MCO,"Population, total",SP.POP.TOTL,39244
Moldova,MDA,"Population, total",SP.POP.TOTL,2620495
Madagascar,MDG,"Population, total",SP.POP.TOTL,27691019
Maldives,MDV,"Population, total",SP.POP.TOTL,540542
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,464554123
Mexico,MEX,"Population, total",SP.POP.TOTL,128932753
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,59194
Middle income,MIC,"Population, total",SP.POP.TOTL,5853104938
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2072531
Mali,MLI,"Population, total",SP.POP.TOTL,20250834
Malta,MLT,"Population, total",SP.POP.TOTL,525285
Myanmar,MMR,"Population, total",SP.POP.TOTL,54409794
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,396147843
Montenegro,MNE,"Population, total",SP.POP.TOTL,621306
Mongolia,MNG,"Population, total",SP.POP.TOTL,3278292
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,57557
Mozambique,MOZ,"Population, total",SP.POP.TOTL,31255435
Mauritania,MRT,"Population, total",SP.POP.TOTL,4649660
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265740
Malawi,MWI,"Population, total",SP.POP.TOTL,19129955
Malaysia,MYS,"Population, total",SP.POP.TOTL,32365998
North America,NAC,"Population, total",SP.POP.TOTL,367553264
Namibia,NAM,"Population, total",SP.POP.TOTL,2540916
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271960
Niger,NER,"Population, total",SP.POP.TOTL,24206636
Nigeria,NGA,"Population, total",SP.POP.TOTL,206139587
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6624554
Netherlands,NLD,"Population, total",SP.POP.TOTL,17441139
Norway,NOR,"Population, total",SP.POP.TOTL,5379475
Nepal,NPL,"Population, total",SP.POP.TOTL,29136808
Nauru,NRU,"Population, total",SP.POP.TOTL,10834
New Zealand,NZL,"Population, total",SP.POP.TOTL,5084300
OECD members,OED,"Population, total",SP.POP.TOTL,1370858752
Oman,OMN,"Population, total",SP.POP.TOTL,5106622
Other small states,OSS,"Population, total",SP.POP.TOTL,31941374
Pakistan,PAK,"Population, total",SP.POP.TOTL,220892331
Panama,PAN,"Population, total",SP.POP.TOTL,4314768
Peru,PER,"Population, total",SP.POP.TOTL,32971846
Philippines,PHL,"Population, total",SP.POP.TOTL,109581085
Palau,PLW,"Population, total",SP.POP.TOTL,18092
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8947027
Poland,POL,"Population, total",SP.POP.TOTL,37950802
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,970795671
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3194034
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25778815
Portugal,PRT,"Population, total",SP.POP.TOTL,10305564
Paraguay,PRY,"Population, total",SP.POP.TOTL,7132530
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4803269
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2528958
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1115104266
French Polynesia,PYF,"Population, total",SP.POP.TOTL,280904
Qatar,QAT,"Population, total",SP.POP.TOTL,2881060
Romania,ROU,"Population, total",SP.POP.TOTL,19286123
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144104080
Rwanda,RWA,"Population, total",SP.POP.TOTL,12952209
South Asia,SAS,"Population, total",SP.POP.TOTL,1856882402
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,34813867
Sudan,SDN,"Population, total",SP.POP.TOTL,43849269
Senegal,SEN,"Population, total",SP.POP.TOTL,16743930
Singapore,SGP,"Population, total",SP.POP.TOTL,5685807
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,686878
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7976985
El Salvador,SLV,"Population, total",SP.POP.TOTL,6486201
San Marino,SMR,"Population, total",SP.POP.TOTL,33938
Somalia,SOM,"Population, total",SP.POP.TOTL,15893219
Serbia,SRB,"Population, total",SP.POP.TOTL,6908224
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1135948313
South Sudan,SSD,"Population, total",SP.POP.TOTL,11193729
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1136046775
Small states,SST,"Population, total",SP.POP.TOTL,41912623
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,219161
Suriname,SUR,"Population, total",SP.POP.TOTL,586634
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5458827
Slovenia,SVN,"Population, total",SP.POP.TOTL,2100126
Sweden,SWE,"Population, total",SP.POP.TOTL,10353442
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1160164
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40812
Seychelles,SYC,"Population, total",SP.POP.TOTL,98462
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17500657
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,38718
Chad,TCD,"Population, total",SP.POP.TOTL,16425859
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2088015667
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,462209698
Togo,TGO,"Population, total",SP.POP.TOTL,8278737
Thailand,THA,"Population, total",SP.POP.TOTL,69799978
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9537642
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6031187
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,636492840
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1318442
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,391344574
Tonga,TON,"Population, total",SP.POP.TOTL,105697
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1856882402
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1136046775
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1399491
Tunisia,TUN,"Population, total",SP.POP.TOTL,11818618
Turkey,TUR,"Population, total",SP.POP.TOTL,84339067
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11792
Tanzania,TZA,"Population, total",SP.POP.TOTL,59734213
Uganda,UGA,"Population, total",SP.POP.TOTL,45741000
Ukraine,UKR,"Population, total",SP.POP.TOTL,44134693
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2522452391
Uruguay,URY,"Population, total",SP.POP.TOTL,3473727
United States,USA,"Population, total",SP.POP.TOTL,329484123
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,34232050
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110947
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28435943
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30237
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106290
Vietnam,VNM,"Population, total",SP.POP.TOTL,97338583
Vanuatu,VUT,"Population, total",SP.POP.TOTL,307150
World,WLD,"Population, total",SP.POP.TOTL,7761620146
Samoa,WSM,"Population, total",SP.POP.TOTL,198410
Kosovo,XKX,"Population, total",SP.POP.TOTL,1775378
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,29825968
South Africa,ZAF,"Population, total",SP.POP.TOTL,59308690
Zambia,ZMB,"Population, total",SP.POP.TOTL,18383956
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14862927
